id,category,created_at,updated_at
01,Gedung Fasilitas Umum,2023-04-28 14:06:19,2023-04-28 14:06:19
02,Gedung Fakultas,2023-04-28 14:06:28,2023-04-28 14:06:28
03,Gedung Kuliah,,,,
04,Gedung Asrama,,,,
05,Lapangan Olahraga,,,,
